city,state,scientific_name,tree_count
Brown Deer,Wisconsin,Fraxinus pennsylvanica,122
Brown Deer,Wisconsin,Acer platanoides,90
Brown Deer,Wisconsin,Acer freemanii,84
Brown Deer,Wisconsin,Acer saccharinum,59
Brown Deer,Wisconsin,Tilia cordata,49
Brown Deer,Wisconsin,Other,176
Cudahy,Wisconsin,Fraxinus pennsylvanica,63
Cudahy,Wisconsin,Acer platanoides,41
Cudahy,Wisconsin,Acer freemanii,36
Cudahy,Wisconsin,Acer saccharinum,33
Cudahy,Wisconsin,Tilia cordata,32
Cudahy,Wisconsin,Other,218
Fox Point,Wisconsin,Fraxinus pennsylvanica,25
Fox Point,Wisconsin,Acer platanoides,19
Fox Point,Wisconsin,Acer freemanii,19
Fox Point,Wisconsin,Acer saccharinum,11
Fox Point,Wisconsin,Tilia cordata,11
Fox Point,Wisconsin,Other,75
Franklin,Wisconsin,Fraxinus pennsylvanica,57
Franklin,Wisconsin,Acer platanoides,27
Franklin,Wisconsin,Acer freemanii,24
Franklin,Wisconsin,Acer saccharinum,23
Franklin,Wisconsin,Tilia cordata,23
Franklin,Wisconsin,Other,174
Glendale,Wisconsin,Fraxinus pennsylvanica,442
Glendale,Wisconsin,Acer platanoides,186
Glendale,Wisconsin,Acer freemanii,175
Glendale,Wisconsin,Acer saccharinum,116
Glendale,Wisconsin,Tilia cordata,111
Glendale,Wisconsin,Other,706
Greendale,Wisconsin,Fraxinus pennsylvanica,31
Greendale,Wisconsin,Acer platanoides,27
Greendale,Wisconsin,Acer freemanii,17
Greendale,Wisconsin,Acer saccharinum,16
Greendale,Wisconsin,Tilia cordata,14
Greendale,Wisconsin,Other,165
Greenfield,Wisconsin,Fraxinus pennsylvanica,61
Greenfield,Wisconsin,Acer platanoides,26
Greenfield,Wisconsin,Acer freemanii,26
Greenfield,Wisconsin,Acer saccharinum,25
Greenfield,Wisconsin,Tilia cordata,25
Greenfield,Wisconsin,Other,209
Hales Corners,Wisconsin,Fraxinus pennsylvanica,43
Hales Corners,Wisconsin,Acer platanoides,43
Hales Corners,Wisconsin,Acer freemanii,35
Hales Corners,Wisconsin,Acer saccharinum,29
Hales Corners,Wisconsin,Tilia cordata,24
Hales Corners,Wisconsin,Other,262
Milwaukee,Wisconsin,Fraxinus pennsylvanica,1411
Milwaukee,Wisconsin,Acer platanoides,1356
Milwaukee,Wisconsin,Acer freemanii,912
Milwaukee,Wisconsin,Acer saccharinum,840
Milwaukee,Wisconsin,Tilia cordata,700
Milwaukee,Wisconsin,Other,5939
New Berlin,Wisconsin,Fraxinus pennsylvanica,639
New Berlin,Wisconsin,Acer platanoides,613
New Berlin,Wisconsin,Acer freemanii,478
New Berlin,Wisconsin,Acer saccharinum,300
New Berlin,Wisconsin,Tilia cordata,285
New Berlin,Wisconsin,Other,3955
Oak Creek,Wisconsin,Fraxinus pennsylvanica,37
Oak Creek,Wisconsin,Acer platanoides,25
Oak Creek,Wisconsin,Acer freemanii,13
Oak Creek,Wisconsin,Acer saccharinum,9
Oak Creek,Wisconsin,Tilia cordata,9
Oak Creek,Wisconsin,Other,92
Shorewood,Wisconsin,Fraxinus pennsylvanica,16
Shorewood,Wisconsin,Acer platanoides,14
Shorewood,Wisconsin,Acer freemanii,11
Shorewood,Wisconsin,Acer saccharinum,9
Shorewood,Wisconsin,Tilia cordata,8
Shorewood,Wisconsin,Other,36
South Milwaukee,Wisconsin,Fraxinus pennsylvanica,54
South Milwaukee,Wisconsin,Acer platanoides,45
South Milwaukee,Wisconsin,Acer freemanii,31
South Milwaukee,Wisconsin,Acer saccharinum,28
South Milwaukee,Wisconsin,Tilia cordata,28
South Milwaukee,Wisconsin,Other,245
Watertown,Wisconsin,Fraxinus pennsylvanica,976
Watertown,Wisconsin,Acer platanoides,401
Watertown,Wisconsin,Acer freemanii,397
Watertown,Wisconsin,Acer saccharinum,385
Watertown,Wisconsin,Tilia cordata,354
Watertown,Wisconsin,Other,3632
Wauwatosa,Wisconsin,Fraxinus pennsylvanica,265
Wauwatosa,Wisconsin,Acer platanoides,186
Wauwatosa,Wisconsin,Acer freemanii,171
Wauwatosa,Wisconsin,Acer saccharinum,157
Wauwatosa,Wisconsin,Tilia cordata,151
Wauwatosa,Wisconsin,Other,938
West Allis,Wisconsin,Fraxinus pennsylvanica,348
West Allis,Wisconsin,Acer platanoides,238
West Allis,Wisconsin,Acer freemanii,144
West Allis,Wisconsin,Acer saccharinum,87
West Allis,Wisconsin,Tilia cordata,70
West Allis,Wisconsin,Other,541
West Milwaukee,Wisconsin,Fraxinus pennsylvanica,22
West Milwaukee,Wisconsin,Acer platanoides,19
West Milwaukee,Wisconsin,Acer freemanii,16
West Milwaukee,Wisconsin,Acer saccharinum,13
West Milwaukee,Wisconsin,Tilia cordata,9
West Milwaukee,Wisconsin,Other,31
Whitefish Bay,Wisconsin,Fraxinus pennsylvanica,10
Whitefish Bay,Wisconsin,Acer platanoides,10
Whitefish Bay,Wisconsin,Acer freemanii,8
Whitefish Bay,Wisconsin,Acer saccharinum,7
Whitefish Bay,Wisconsin,Tilia cordata,5
Whitefish Bay,Wisconsin,Other,27
Anaheim,California,Fraxinus pennsylvanica,5266
Anaheim,California,Acer platanoides,4379
Anaheim,California,Acer freemanii,3771
Anaheim,California,Acer saccharinum,2567
Anaheim,California,Tilia cordata,2317
Anaheim,California,Other,36121
Irvine,California,Fraxinus pennsylvanica,4578
Irvine,California,Acer platanoides,3948
Irvine,California,Acer freemanii,3830
Irvine,California,Acer saccharinum,3810
Irvine,California,Tilia cordata,3339
Irvine,California,Other,38264
Rancho Cucamonga,California,Fraxinus pennsylvanica,12889
Rancho Cucamonga,California,Acer platanoides,5698
Rancho Cucamonga,California,Acer freemanii,5549
Rancho Cucamonga,California,Acer saccharinum,5016
Rancho Cucamonga,California,Tilia cordata,4941
Rancho Cucamonga,California,Other,46199
Arlington,Texas,Fraxinus pennsylvanica,1570
Arlington,Texas,Acer platanoides,1195
Arlington,Texas,Acer freemanii,1139
Arlington,Texas,Acer saccharinum,1081
