state,city,Fraxinus pennsylvanica,Acer platanoides,Acer freemanii,Acer saccharinum,Tilia cordata,Other
Wisconsin,Brown Deer,122,90,84.0,59.0,49.0,176.0
Wisconsin,Cedarburg,1,0,,,,
Wisconsin,Cudahy,63,41,36.0,33.0,32.0,218.0
Wisconsin,Fox Point,25,19,19.0,11.0,11.0,75.0
Wisconsin,Franklin,57,27,24.0,23.0,23.0,174.0
Wisconsin,Glendale,442,186,175.0,116.0,111.0,706.0
Wisconsin,Greendale,31,27,17.0,16.0,14.0,165.0
Wisconsin,Greenfield,61,26,26.0,25.0,25.0,209.0
Wisconsin,Hales Corners,43,43,35.0,29.0,24.0,262.0
Wisconsin,Milwaukee,1411,1356,912.0,840.0,700.0,5939.0
Wisconsin,Muskego,1,1,0.0,,,
Wisconsin,New Berlin,639,613,478.0,300.0,285.0,3955.0
Wisconsin,Oak Creek,37,25,13.0,9.0,9.0,92.0
Wisconsin,Shorewood,16,14,11.0,9.0,8.0,36.0
Wisconsin,South Milwaukee,54,45,31.0,28.0,28.0,245.0
Wisconsin,Watertown,976,401,397.0,385.0,354.0,3632.0
Wisconsin,Wauwatosa,265,186,171.0,157.0,151.0,938.0
Wisconsin,West Allis,348,238,144.0,87.0,70.0,541.0
Wisconsin,West Bend,1,0,,,,
Wisconsin,West Milwaukee,22,19,16.0,13.0,9.0,31.0
Wisconsin,Whitefish Bay,10,10,8.0,7.0,5.0,27.0
Wisconsin,Wind Lake,1,0,,,,
California,Anaheim,5266,4379,3771.0,2567.0,2317.0,36121.0
California,Irvine,4578,3948,3830.0,3810.0,3339.0,38264.0
California,Rancho Cucamonga,12889,5698,5549.0,5016.0,4941.0,46199.0
Texas,Arlington,1570,1195,1139.0,1081.0,691.0,8997.0
New York,Rochester,6307,3329,2970.0,2499.0,2178.0,28401.0
Florida,Miami,46,41,36.0,34.0,33.0,541.0
Texas,Austin,916,831,790.0,609.0,590.0,2239.0
California,Stockton,11392,7552,7354.0,7179.0,5296.0,58934.0
Washington,Seattle,8244,7543,6304.0,5206.0,4948.0,132658.0
California,Los Angeles,37971,34729,30988.0,30061.0,28681.0,411180.0
Colorado,Aurora,10428,6107,5465.0,4745.0,3433.0,25441.0
New York,New York,87014,64264,58931.0,53185.0,40112.0,348663.0
California,Oakland,3788,3312,2930.0,2683.0,2161.0,20694.0
California,San Francisco,11925,8681,8509.0,8236.0,7793.0,129924.0
Massachusetts,Boston,267,151,115.0,87.0,74.0,639.0
California,Ontario,4630,4392,3900.0,3328.0,3307.0,38984.0
Michigan,Grand Rapids,20433,5805,4523.0,3954.0,3033.0,31954.0
Maryland,Baltimore,12910,6766,6056.0,5932.0,5817.0,83143.0
New Mexico,Albuquerque,216,186,159.0,149.0,148.0,1616.0
North Carolina,Greensboro,713,523,437.0,405.0,295.0,4206.0
Oklahoma,Oklahoma City,711,689,584.0,567.0,455.0,5865.0
California,Huntington Beach,4681,4037,3896.0,2574.0,1665.0,28376.0
California,Fresno,749,713,588.0,444.0,397.0,3282.0
Florida,Orlando,17126,14988,10620.0,2855.0,2609.0,17986.0
Tennessee,Nashville,281,166,154.0,131.0,120.0,1187.0
Missouri,St. Louis,8575,7761,7210.0,6503.0,4557.0,48846.0
Florida,Lutz,1,0,,,,
Florida,Seffner,4,4,3.0,1.0,0.0,
Florida,Tampa,5379,3248,2851.0,1381.0,1236.0,9563.0
Florida,Temple Terrace,3,3,1.0,1.0,0.0,
Nevada,Las Vegas,5888,4480,1844.0,1483.0,1478.0,16691.0
Arizona,Phoenix,19,16,14.0,12.0,11.0,142.0
Minnesota,Minneapolis,28206,20191,16232.0,15362.0,12745.0,96140.0
Indiana,Indianapolis,7042,5940,5803.0,5717.0,3977.0,68748.0
Louisiana,New Orleans,30244,21775,5409.0,4186.0,3471.0,38987.0
Wisconsin,Madison,20918,17377,4969.0,3894.0,3390.0,33210.0
