state,city,scientific_name,count
Wisconsin,Brown Deer,Fraxinus pennsylvanica,122
Wisconsin,Brown Deer,Acer saccharum,90
Wisconsin,Brown Deer,Quercus rubra,84
Wisconsin,Brown Deer,Celtis occidentalis,59
Wisconsin,Brown Deer,Tilia americana,49
Wisconsin,Cedarburg,Tilia americana,1
Wisconsin,Cudahy,Gleditsia triacanthos,63
Wisconsin,Cudahy,Tilia americana,41
Wisconsin,Cudahy,Acer saccharinum,36
Wisconsin,Cudahy,Acer saccharum,33
Wisconsin,Cudahy,Fraxinus pennsylvanica,32
Wisconsin,Fox Point,Thuja occidentalis,25
Wisconsin,Fox Point,Aesculus hippocastanum,19
Wisconsin,Fox Point,Fraxinus pennsylvanica,19
Wisconsin,Fox Point,Pinus resinosa,11
Wisconsin,Fox Point,Quercus rubra,11
Wisconsin,Franklin,Quercus rubra,57
Wisconsin,Franklin,Gleditsia triacanthos,27
Wisconsin,Franklin,Malus tschonoskii,24
Wisconsin,Franklin,Acer saccharum,23
Wisconsin,Franklin,Fraxinus americana,23
Wisconsin,Glendale,Fraxinus pennsylvanica,442
Wisconsin,Glendale,Acer saccharum,186
Wisconsin,Glendale,Acer platanoides,175
Wisconsin,Glendale,Quercus rubra,116
Wisconsin,Glendale,Acer saccharinum,111
Wisconsin,Greendale,Fraxinus pennsylvanica,31
Wisconsin,Greendale,Celtis occidentalis,27
Wisconsin,Greendale,Pinus resinosa,17
Wisconsin,Greendale,Pinus sylvestris,16
Wisconsin,Greendale,Malus tschonoskii,14
Wisconsin,Greenfield,Acer saccharum,61
Wisconsin,Greenfield,Fraxinus pennsylvanica,26
Wisconsin,Greenfield,Quercus rubra,26
Wisconsin,Greenfield,Acer platanoides,25
Wisconsin,Greenfield,Quercus alba,25
Wisconsin,Hales Corners,Acer saccharum,43
Wisconsin,Hales Corners,Fraxinus pennsylvanica,43
Wisconsin,Hales Corners,Gleditsia triacanthos,35
Wisconsin,Hales Corners,Juglans nigra,29
Wisconsin,Hales Corners,Acer platanoides,24
Wisconsin,Milwaukee,Gleditsia triacanthos,1411
Wisconsin,Milwaukee,Fraxinus pennsylvanica,1356
Wisconsin,Milwaukee,Acer platanoides,912
Wisconsin,Milwaukee,Acer saccharum,840
Wisconsin,Milwaukee,Celtis occidentalis,700
Wisconsin,Muskego,Acer ginnala,1
Wisconsin,Muskego,Fagus grandifolia,1
Wisconsin,New Berlin,Fraxinus pennsylvanica,639
Wisconsin,New Berlin,Picea pungens,613
Wisconsin,New Berlin,Acer platanoides,478
Wisconsin,New Berlin,Fraxinus americana,300
Wisconsin,New Berlin,Gleditsia triacanthos,285
Wisconsin,Oak Creek,Quercus rubra,37
Wisconsin,Oak Creek,Malus tschonoskii,25
Wisconsin,Oak Creek,Gleditsia triacanthos,13
Wisconsin,Oak Creek,Acer saccharum,9
Wisconsin,Oak Creek,Quercus alba,9
Wisconsin,Shorewood,Crataegus,16
Wisconsin,Shorewood,Juglans nigra,14
Wisconsin,Shorewood,Malus tschonoskii,11
Wisconsin,Shorewood,Acer platanoides,9
Wisconsin,Shorewood,Acer saccharum,8
Wisconsin,South Milwaukee,Acer saccharum,54
Wisconsin,South Milwaukee,Fraxinus americana,45
Wisconsin,South Milwaukee,Celtis occidentalis,31
Wisconsin,South Milwaukee,Gleditsia triacanthos,28
Wisconsin,South Milwaukee,Quercus rubra,28
Wisconsin,Watertown,Acer platanoides,976
Wisconsin,Watertown,Tilia cordata,401
Wisconsin,Watertown,Pyrus calleryana,397
Wisconsin,Watertown,Gleditsia triacanthos,385
Wisconsin,Watertown,Malus tschonoskii,354
Wisconsin,Wauwatosa,Fraxinus pennsylvanica,265
Wisconsin,Wauwatosa,Acer saccharum,186
Wisconsin,Wauwatosa,Acer platanoides,171
Wisconsin,Wauwatosa,Gleditsia triacanthos,157
Wisconsin,Wauwatosa,Quercus rubra,151
Wisconsin,West Allis,Celtis occidentalis,348
