year,month,min,max,mean
1993,1,-9.0,12.0,0.44
1993,2,-6.0,11.0,1.64
1993,3,-5.0,27.0,8.0
1993,4,-1.0,30.0,13.18
1993,5,6.0,34.0,17.98
1993,6,10.0,32.0,20.97
1993,7,8.0,32.0,21.58
1993,8,7.0,37.0,23.16
1993,9,6.0,29.0,16.8
1993,10,-1.0,21.0,10.65
1993,11,-7.0,16.0,4.85
1993,12,-11.0,10.0,0.31
1997,1,-6.0,8.0,1.24
1997,2,-7.0,14.0,3.34
1997,3,-2.0,25.0,10.16
1997,4,-1.0,26.0,11.7
1997,5,5.0,32.0,17.05
1997,6,8.0,32.0,19.55
1997,7,9.0,33.0,21.4
1997,8,10.0,35.0,22.58
1997,9,6.0,33.0,19.7
1997,10,-5.0,26.0,11.02
1997,11,-3.0,16.0,5.33
1997,12,-7.0,13.0,2.15
2001,1,-8.0,9.0,1.32
2001,2,-6.0,14.0,4.07
2001,3,-1.0,22.0,9.79
2001,4,0.0,24.0,11.37
2001,5,7.0,34.0,19.44
2001,6,6.0,34.0,20.03
2001,7,12.0,36.0,23.56
2001,8,10.0,34.0,23.45
2001,9,3.0,28.0,15.32
2001,10,5.0,22.0,13.45
2001,11,-6.0,17.0,3.7
2001,12,-11.0,13.0,-0.92
2005,1,-6.7,11.0,0.72
2005,2,-6.8,12.2,2.47
2005,3,-8.2,26.2,8.51
2005,4,2.9,27.3,13.0
2005,5,7.4,32.8,19.0
2005,6,10.0,37.3,23.26
2005,7,12.8,35.6,23.71
2005,8,12.2,33.2,21.91
2005,9,9.6,32.5,19.4
2005,10,2.9,19.6,12.1
2005,11,-4.8,14.6,5.42
2005,12,-9.6,8.8,-0.38
2009,1,-8.9,10.2,1.46
2009,2,-4.8,16.7,4.13
2009,3,-0.6,19.2,8.77
2009,4,6.0,25.2,14.06
2009,5,9.5,33.6,20.08
2009,6,10.0,31.7,21.54
2009,7,13.1,33.9,22.94
2009,8,13.4,33.5,24.13
2009,9,10.0,30.1,19.24
2009,10,0.6,24.7,12.99
2009,11,-1.4,14.0,7.41
2009,12,-9.5,12.2,2.16
2013,1,-3.3,17.7,3.15
2013,2,-3.4,12.6,3.13
2013,3,-0.8,16.0,7.45
2013,4,3.5,26.8,13.91
2013,5,5.1,26.5,15.82
2013,6,10.1,33.4,20.76
2013,7,13.7,35.8,24.83
2013,8,13.3,36.0,23.6
2013,9,9.3,29.5,18.79
2013,10,5.2,20.1,13.79
2013,11,-4.4,17.6,8.56
2013,12,-3.5,15.5,4.13
2017,1,-7.7,9.3,0.68
2017,2,-0.8,13.8,6.46
2017,3,1.2,24.0,12.11
2017,4,3.6,24.0,13.88
2017,5,5.8,31.2,18.79
2017,6,9.8,33.7,23.24
2017,7,12.2,33.7,23.46
2017,8,13.4,35.5,23.63
2017,9,7.1,25.9,16.63
2017,10,2.4,21.3,13.53
2017,11,-3.5,13.8,6.55
2017,12,-6.7,10.1,1.18
2021,1,-9.4,8.2,0.02
2021,2,-4.4,18.9,5.82
2021,3,-1.5,25.3,8.9
2021,4,-0.7,25.6,11.83
2021,5,7.0,26.6,15.77
2021,6,13.1,33.6,23.66
2021,7,14.4,33.5,23.04
2021,8,9.6,32.9,21.39
2021,9,11.1,29.7,19.58
2021,10,1.7,22.0,11.95
2021,11,-2.3,14.1,7.14
2021,12,-5.7,10.7,2.68
