stateCode,year,month,value
001,1895,1,52.7
001,1895,2,48.1
001,1895,3,66.5
001,1895,4,75.7
001,1895,5,80.6
001,1895,6,88.4
001,1895,7,89.6
001,1895,8,89.7
001,1895,9,89.1
001,1895,10,74.2
001,1895,11,65.1
001,1895,12,57.1
001,1896,1,53.0
001,1896,2,59.0
001,1896,3,63.9
001,1896,4,80.6
001,1896,5,87.8
001,1896,6,87.9
001,1896,7,91.6
001,1896,8,94.0
001,1896,9,89.2
001,1896,10,75.8
001,1896,11,68.9
001,1896,12,57.7
001,1897,1,52.1
001,1897,2,61.0
001,1897,3,69.9
001,1897,4,74.8
001,1897,5,82.2
001,1897,6,94.0
001,1897,7,92.8
001,1897,8,89.5
001,1897,9,88.7
001,1897,10,81.0
001,1897,11,67.1
001,1897,12,58.0
001,1898,1,59.1
001,1898,2,58.0
001,1898,3,69.9
001,1898,4,71.0
001,1898,5,88.0
001,1898,6,92.7
001,1898,7,90.5
001,1898,8,88.4
001,1898,9,85.4
001,1898,10,72.3
001,1898,11,61.0
001,1898,12,54.3
001,1899,1,54.4
001,1899,2,51.4
001,1899,3,67.8
001,1899,4,72.6
001,1899,5,88.6
001,1899,6,92.3
001,1899,7,91.9
001,1899,8,92.0
001,1899,9,86.3
001,1899,10,78.1
001,1899,11,67.8
001,1899,12,55.6
001,1900,1,55.3
001,1900,2,56.4
001,1900,3,64.5
001,1900,4,76.7
001,1900,5,84.4
001,1900,6,85.2
001,1900,7,90.6
001,1900,8,93.5
001,1900,9,89.1
001,1900,10,78.2
001,1900,11,66.4
001,1900,12,57.4
001,1901,1,57.5
001,1901,2,53.9
001,1901,3,65.5
001,1901,4,70.0
001,1901,5,84.0
001,1901,6,91.1
001,1901,7,95.1
001,1901,8,89.6
001,1901,9,83.7
001,1901,10,76.2
001,1901,11,62.7
001,1901,12,53.6
001,1902,1,55.4
001,1902,2,50.9
001,1902,3,66.2
001,1902,4,74.9
001,1902,5,88.3
001,1902,6,94.6
001,1902,7,96.1
001,1902,8,94.6
001,1902,9,84.8
001,1902,10,75.6
001,1902,11,69.2
001,1902,12,55.6
001,1903,1,53.5
001,1903,2,59.5
001,1903,3,68.4
001,1903,4,74.0
001,1903,5,81.0
001,1903,6,85.1
001,1903,7,92.0
001,1903,8,91.8
001,1903,9,86.7
001,1903,10,77.0
001,1903,11,62.5
001,1903,12,52.8
001,1904,1,52.6
001,1904,2,60.2
001,1904,3,70.3
001,1904,4,72.7
001,1904,5,84.2
001,1904,6,91.3
001,1904,7,90.6
001,1904,8,89.6
001,1904,9,90.3
001,1904,10,80.1
001,1904,11,64.9
001,1904,12,57.0
001,1905,1,49.8
001,1905,2,49.5
001,1905,3,71.6
001,1905,4,75.7
001,1905,5,85.4
001,1905,6,91.4
001,1905,7,91.1
001,1905,8,89.8
001,1905,9,88.2
001,1905,10,74.4
001,1905,11,68.0
001,1905,12,52.6
001,1906,1,57.2
001,1906,2,58.1
001,1906,3,61.9
001,1906,4,79.1
001,1906,5,82.1
001,1906,6,91.1
001,1906,7,89.9
001,1906,8,91.7
001,1906,9,88.6
001,1906,10,72.6
001,1906,11,68.8
001,1906,12,60.4
001,1907,1,65.0
001,1907,2,60.6
001,1907,3,77.3
001,1907,4,70.0
001,1907,5,79.2
001,1907,6,88.2
001,1907,7,92.8
001,1907,8,92.5
001,1907,9,86.8
001,1907,10,76.9
001,1907,11,62.8
001,1907,12,55.5
001,1908,1,54.6
001,1908,2,55.2
001,1908,3,74.6
001,1908,4,79.7
001,1908,5,84.0
001,1908,6,90.4
001,1908,7,91.9
001,1908,8,91.4
001,1908,9,87.0
001,1908,10,75.3
001,1908,11,70.3
001,1908,12,61.6
001,1909,1,61.0
001,1909,2,63.2
001,1909,3,67.8
001,1909,4,75.6
001,1909,5,81.4
001,1909,6,89.0
001,1909,7,91.5
001,1909,8,92.8
001,1909,9,87.3
001,1909,10,79.1
001,1909,11,74.8
001,1909,12,52.1
001,1910,1,57.6
001,1910,2,56.9
001,1910,3,75.2
001,1910,4,75.8
001,1910,5,81.9
001,1910,6,86.9
001,1910,7,88.8
001,1910,8,91.2
001,1910,9,90.3
001,1910,10,79.5
001,1910,11,64.1
001,1910,12,53.2
001,1911,1,61.3
001,1911,2,65.4
001,1911,3,71.1
001,1911,4,74.9
001,1911,5,86.6
001,1911,6,93.9
001,1911,7,89.1
001,1911,8,89.8
001,1911,9,92.5
001,1911,10,80.4
001,1911,11,62.6
001,1911,12,60.1
001,1912,1,51.4
001,1912,2,55.1
001,1912,3,63.6
001,1912,4,76.0
001,1912,5,84.8
001,1912,6,85.8
001,1912,7,90.2
001,1912,8,90.2
001,1912,9,87.5
001,1912,10,77.6
001,1912,11,64.8
001,1912,12,56.9
001,1913,1,62.5
001,1913,2,58.2
001,1913,3,66.5
001,1913,4,75.0
001,1913,5,84.6
001,1913,6,91.1
001,1913,7,92.7
001,1913,8,93.4
001,1913,9,84.0
001,1913,10,73.9
001,1913,11,70.1
001,1913,12,57.2
001,1914,1,58.8
001,1914,2,57.4
001,1914,3,62.2
001,1914,4,76.7
001,1914,5,85.4
001,1914,6,96.4
001,1914,7,93.9
001,1914,8,89.6
001,1914,9,84.5
001,1914,10,74.8
001,1914,11,65.8
001,1914,12,51.5
001,1915,1,53.3
001,1915,2,58.9
001,1915,3,58.1
001,1915,4,79.0
001,1915,5,86.1
001,1915,6,90.8
001,1915,7,92.2
001,1915,8,90.1
001,1915,9,88.5
001,1915,10,78.0
001,1915,11,70.4
001,1915,12,58.0
001,1916,1,62.6
001,1916,2,59.9
001,1916,3,67.1
001,1916,4,74.7
001,1916,5,86.2
001,1916,6,89.0
001,1916,7,87.3
001,1916,8,91.3
001,1916,9,86.6
001,1916,10,78.0
001,1916,11,68.5
001,1916,12,58.2
001,1917,1,60.0
001,1917,2,60.9
001,1917,3,68.7
001,1917,4,77.5
001,1917,5,79.7
001,1917,6,90.9
001,1917,7,90.9
001,1917,8,89.5
001,1917,9,84.4
001,1917,10,73.4
001,1917,11,64.3
001,1917,12,50.9
001,1918,1,48.6
001,1918,2,65.2
001,1918,3,74.6
001,1918,4,71.8
001,1918,5,85.3
001,1918,6,92.2
001,1918,7,90.6
001,1918,8,92.4
001,1918,9,83.1
001,1918,10,78.4
001,1918,11,64.5
001,1918,12,59.5
001,1919,1,56.3
001,1919,2,58.5
001,1919,3,69.0
001,1919,4,76.2
001,1919,5,79.8
001,1919,6,88.9
001,1919,7,90.1
001,1919,8,89.6
001,1919,9,88.2
001,1919,10,84.7
001,1919,11,69.0
001,1919,12,58.8
001,1920,1,56.8
001,1920,2,56.5
001,1920,3,63.7
001,1920,4,73.7
001,1920,5,80.9
001,1920,6,88.7
001,1920,7,90.1
001,1920,8,87.4
001,1920,9,87.9
001,1920,10,78.4
001,1920,11,63.3
001,1920,12,55.2
001,1921,1,61.1
001,1921,2,62.0
001,1921,3,75.9
001,1921,4,74.5
001,1921,5,82.3
001,1921,6,93.2
001,1921,7,92.9
001,1921,8,91.8
001,1921,9,93.2
001,1921,10,76.7
001,1921,11,70.1
001,1921,12,62.6
001,1922,1,55.4
001,1922,2,64.3
001,1922,3,66.6
001,1922,4,77.8
001,1922,5,82.1
001,1922,6,89.9
001,1922,7,91.1
001,1922,8,90.4
001,1922,9,90.0
001,1922,10,77.0
001,1922,11,69.0
001,1922,12,63.7
001,1923,1,62.8
001,1923,2,57.7
001,1923,3,66.7
001,1923,4,74.8
001,1923,5,79.8
001,1923,6,87.4
001,1923,7,89.4
001,1923,8,88.5
001,1923,9,87.7
001,1923,10,76.0
001,1923,11,63.7
001,1923,12,62.8
001,1924,1,52.7
001,1924,2,58.0
001,1924,3,61.8
001,1924,4,74.8
001,1924,5,79.5
001,1924,6,90.6
001,1924,7,91.9
001,1924,8,94.3
001,1924,9,83.6
001,1924,10,79.1
001,1924,11,69.7
001,1924,12,58.5
001,1925,1,57.2
001,1925,2,64.3
001,1925,3,70.8
001,1925,4,80.8
001,1925,5,82.6
001,1925,6,93.3
001,1925,7,93.6
001,1925,8,93.3
001,1925,9,96.8
001,1925,10,75.8
001,1925,11,63.2
001,1925,12,55.7
001,1926,1,53.8
001,1926,2,62.1
001,1926,3,59.8
001,1926,4,74.0
001,1926,5,83.4
001,1926,6,89.4
001,1926,7,90.9
001,1926,8,90.4
001,1926,9,89.8
001,1926,10,78.3
001,1926,11,61.5
001,1926,12,61.8
001,1927,1,59.5
001,1927,2,68.7
001,1927,3,67.4
001,1927,4,79.8
001,1927,5,84.8
001,1927,6,88.3
001,1927,7,92.4
001,1927,8,89.8
001,1927,9,90.8
001,1927,10,81.5
001,1927,11,71.4
001,1927,12,57.0
001,1928,1,56.0
001,1928,2,59.0
001,1928,3,67.1
001,1928,4,71.4
001,1928,5,81.5
001,1928,6,86.0
001,1928,7,91.4
001,1928,8,91.6
001,1928,9,84.8
001,1928,10,79.4
001,1928,11,64.5
001,1928,12,58.3
001,1929,1,59.9
001,1929,2,56.4
001,1929,3,70.5
001,1929,4,78.1
001,1929,5,82.1
001,1929,6,88.5
001,1929,7,91.4
001,1929,8,93.0
001,1929,9,84.9
001,1929,10,74.4
001,1929,11,62.6
001,1929,12,56.2
001,1930,1,55.7
001,1930,2,65.8
001,1930,3,62.8
001,1930,4,78.8
001,1930,5,84.4
001,1930,6,89.9
001,1930,7,96.9
001,1930,8,91.7
001,1930,9,86.9
001,1930,10,73.6
001,1930,11,62.6
001,1930,12,52.3
