stateCode,year,month,min,max,average
001,1895,1,33.4,52.7,43.1
001,1895,2,26.8,48.1,37.4
001,1895,3,42.4,66.5,54.5
001,1895,4,51.2,75.7,63.4
001,1895,5,58.4,80.6,69.5
001,1895,6,66.5,88.4,77.5
001,1895,7,68.8,89.6,79.2
001,1895,8,69.3,89.7,79.5
001,1895,9,66.4,89.1,77.8
001,1895,10,45.2,74.2,59.7
001,1895,11,41.4,65.1,53.2
001,1895,12,32.7,57.1,44.9
001,1896,1,34.0,53.0,43.5
001,1896,2,36.4,59.0,47.7
001,1896,3,41.2,63.9,52.5
001,1896,4,55.6,80.6,68.0
001,1896,5,63.9,87.8,75.9
001,1896,6,66.9,87.9,77.4
001,1896,7,70.7,91.6,81.2
001,1896,8,70.4,94.0,82.2
001,1896,9,62.6,89.2,75.9
001,1896,10,50.6,75.8,63.2
001,1896,11,45.8,68.9,57.3
001,1896,12,35.1,57.7,46.4
001,1897,1,31.4,52.1,41.8
001,1897,2,41.2,61.0,51.1
001,1897,3,50.4,69.9,60.2
001,1897,4,50.1,74.8,62.4
001,1897,5,55.9,82.2,69.0
001,1897,6,68.3,94.0,81.2
001,1897,7,70.2,92.8,81.5
001,1897,8,68.1,89.5,78.8
001,1897,9,62.5,88.7,75.6
001,1897,10,53.1,81.0,67.1
001,1897,11,41.4,67.1,54.2
001,1897,12,36.9,58.0,47.4
001,1898,1,38.8,59.1,49.0
001,1898,2,34.2,58.0,46.1
001,1898,3,48.5,69.9,59.2
001,1898,4,46.4,71.0,58.8
001,1898,5,60.2,88.0,74.1
001,1898,6,68.0,92.7,80.4
001,1898,7,69.6,90.5,80.0
001,1898,8,69.2,88.4,78.8
001,1898,9,65.1,85.4,75.2
001,1898,10,49.6,72.3,61.0
001,1898,11,38.7,61.0,49.8
001,1898,12,32.5,54.3,43.4
001,1899,1,33.1,54.4,43.8
001,1899,2,28.6,51.4,40.0
001,1899,3,43.5,67.8,55.6
001,1899,4,50.8,72.6,61.7
001,1899,5,63.6,88.6,76.1
001,1899,6,67.6,92.3,79.9
001,1899,7,68.9,91.9,80.4
001,1899,8,69.9,92.0,80.9
001,1899,9,59.4,86.3,72.8
001,1899,10,54.0,78.1,66.0
001,1899,11,42.8,67.8,55.3
001,1899,12,33.8,55.6,44.7
001,1900,1,31.9,55.3,43.6
001,1900,2,32.4,56.4,44.4
001,1900,3,41.3,64.5,52.9
001,1900,4,51.6,76.7,64.2
001,1900,5,58.4,84.4,71.4
001,1900,6,67.4,85.2,76.3
001,1900,7,69.1,90.6,79.8
001,1900,8,68.9,93.5,81.2
001,1900,9,66.0,89.1,77.6
001,1900,10,58.2,78.2,68.2
001,1900,11,43.0,66.4,54.7
001,1900,12,35.7,57.4,46.6
001,1901,1,34.5,57.5,46.0
