stateCode,year,min,max
001,1895,50.21,73.07
001,1896,52.77,75.78
001,1897,52.46,75.92
001,1898,51.73,74.22
001,1899,51.33,74.9
001,1900,51.99,74.81
001,1901,49.19,73.58
001,1902,51.64,75.52
001,1903,50.26,73.69
001,1904,50.22,75.32
001,1905,51.32,73.96
001,1906,51.41,75.12
001,1907,51.78,75.63
001,1908,51.75,76.33
001,1909,51.42,76.3
001,1910,50.19,75.12
001,1911,53.33,77.31
001,1912,50.55,73.66
001,1913,51.46,75.77
001,1914,50.88,74.75
001,1915,51.08,75.28
001,1916,51.12,75.78
001,1917,49.42,74.26
001,1918,52.03,75.52
001,1919,52.41,75.76
001,1920,51.03,73.55
001,1921,53.37,78.02
001,1922,53.89,76.44
001,1923,52.04,74.77
001,1924,49.93,74.54
001,1925,52.62,77.28
001,1926,51.16,74.6
001,1927,53.56,77.62
001,1928,50.72,74.25
001,1929,52.0,74.83
001,1930,51.38,75.12
001,1931,51.68,76.44
001,1932,52.57,75.46
001,1933,53.19,77.02
001,1934,51.64,75.18
001,1935,51.91,75.24
001,1936,51.81,75.79
001,1937,52.03,74.72
001,1938,52.32,76.74
001,1939,51.98,75.75
001,1940,49.37,72.98
001,1941,51.8,75.37
001,1942,50.33,74.68
001,1943,50.78,75.73
001,1944,51.72,75.49
001,1945,52.08,75.62
001,1946,52.6,75.62
001,1947,51.1,74.13
001,1948,51.68,75.12
001,1949,52.87,75.58
001,1950,51.51,74.73
001,1951,51.42,76.12
001,1952,50.9,75.81
001,1953,51.43,76.09
001,1954,51.07,77.24
001,1955,51.19,75.68
001,1956,51.25,75.92
001,1957,52.91,75.0
001,1958,49.65,72.81
001,1959,51.42,74.44
001,1960,49.72,73.33
001,1961,50.13,73.75
001,1962,50.82,75.26
001,1963,49.27,74.16
001,1964,50.68,74.15
001,1965,51.17,74.82
001,1966,50.09,73.23
001,1967,49.9,73.94
001,1968,48.62,73.37
001,1969,49.43,73.27
001,1970,50.24,73.97
001,1971,50.92,74.43
001,1972,51.24,74.68
001,1973,51.58,74.49
001,1974,51.22,74.97
001,1975,51.57,74.07
001,1976,48.41,72.89
001,1977,50.55,74.38
001,1978,49.79,73.93
001,1979,49.99,72.73
001,1980,50.49,74.47
001,1981,49.63,74.34
001,1982,51.92,74.75
001,1983,49.88,72.51
001,1984,50.77,74.89
001,1985,51.52,74.08
001,1986,52.37,75.77
001,1987,51.0,75.1
001,1988,50.03,74.11
001,1989,51.07,73.32
001,1990,52.48,77.34
001,1991,53.05,74.86
001,1992,50.99,73.22
001,1993,50.91,73.76
001,1994,52.0,74.08
001,1995,51.49,74.58
001,1996,50.58,73.69
001,1997,51.25,73.47
001,1998,53.9,76.31
001,1999,51.88,76.38
001,2000,51.16,75.96
001,2001,51.43,74.63
001,2002,52.41,74.76
001,2003,51.63,73.83
001,2004,52.38,74.24
001,2005,51.92,74.87
001,2006,51.74,76.62
001,2007,52.02,76.78
001,2008,51.08,74.72
001,2009,52.05,73.76
001,2010,50.71,74.65
001,2011,51.72,75.94
001,2012,53.32,76.52
001,2013,51.87,73.32
001,2014,50.36,73.72
001,2015,53.79,75.44
001,2016,53.41,77.26
001,2017,53.91,76.15
001,2018,53.69,75.19
001,2019,54.1,76.63
001,2020,54.05,75.68
001,2021,53.34,75.08
001,2022,52.32,75.72
001,2023,30.62,49.71
002,1895,45.55,71.41
002,1896,47.38,72.62
002,1897,45.59,71.68
002,1898,45.47,72.56
002,1899,45.18,73.13
002,1900,46.02,74.1
002,1901,45.91,73.98
002,1902,45.36,73.92
002,1903,44.91,73.02
002,1904,45.17,74.14
002,1905,46.27,71.29
002,1906,45.61,72.42
002,1907,45.86,73.0
002,1908,44.7,72.76
002,1909,44.53,72.36
002,1910,46.49,75.86
002,1911,45.17,72.39
002,1912,43.08,71.32
002,1913,43.74,71.19
002,1914,46.69,73.16
002,1915,44.44,72.0
002,1916,44.69,72.88
002,1917,44.17,73.17
002,1918,45.49,72.1
002,1919,44.82,71.3
002,1920,44.38,71.21
002,1921,45.86,73.96
002,1922,44.86,72.36
002,1923,44.6,71.12
002,1924,44.01,73.23
002,1925,45.05,73.12
002,1926,45.92,73.27
002,1927,45.97,73.08
002,1928,45.59,73.69
002,1929,44.32,72.7
002,1930,44.61,72.48
002,1931,45.87,72.58
002,1932,44.33,72.38
002,1933,44.38,73.12
002,1934,46.89,76.58
002,1935,45.31,72.67
002,1936,46.17,74.45
002,1937,45.0,73.27
002,1938,45.14,73.45
002,1939,45.62,73.62
002,1940,47.31,74.38
002,1941,45.23,71.09
002,1942,44.41,73.92
002,1943,46.16,74.81
002,1944,44.0,71.99
002,1945,44.12,72.89
002,1946,44.88,73.72
002,1947,44.73,73.98
002,1948,43.75,73.35
002,1949,43.92,72.43
002,1950,44.85,76.16
002,1951,44.52,73.2
002,1952,44.69,72.92
