scientific_name,longitude_coordinate,latitude_coordinate,state
Tilia americana,-88.00324951,43.29821057,Wisconsin
Populus tremuloides,-87.99653471,43.29418424,Wisconsin
Acer saccharinum,-87.96434551,43.05123849,Wisconsin
Pinus resinosa,-87.94688702,43.15182965,Wisconsin
Gleditsia triacanthos,-87.96642423,43.05227337,Wisconsin
Fraxinus pennsylvanica,-87.95452327,43.15115456,Wisconsin
Acer saccharum,-87.95457423,43.15092561,Wisconsin
Liriodendron tulipifera,-88.03182989,42.93706788,Wisconsin
Pinus,-87.95705661,43.15585561,Wisconsin
Acer platanoides,-87.95319021,43.15226601,Wisconsin
Pinus sylvestris,-87.87202388,43.07162016,Wisconsin
Pinus nigra,-87.89089392,43.04524123,Wisconsin
Fraxinus nigra,-87.95634985,43.15354378,Wisconsin
Populus,-87.974541,43.04121564,Wisconsin
Quercus alba,-87.91998982,42.95038,Wisconsin
Salix,-87.87232161,43.06581823,Wisconsin
Juglans nigra,-88.01885337,42.94837551,Wisconsin
Acer negundo,-87.91105807,43.10261226,Wisconsin
Malus tschonoskii,-87.99674124,42.9902775,Wisconsin
Prunus serotina,-87.84718528,42.95669243,Wisconsin
Acer rubrum,-87.87988946,42.99302711,Wisconsin
Celtis occidentalis,-87.95523539,43.1528051,Wisconsin
Pseudotsuga menziesii,-87.922609,43.10404478,Wisconsin
Abies,-87.95549959,43.15709319,Wisconsin
Betula nigra,-87.91321456,43.04188855,Wisconsin
Quercus rubra,-87.87293181,43.06402326,Wisconsin
Crataegus,-88.02265942,42.94899983,Wisconsin
Fraxinus americana,-87.86782756,43.07081877,Wisconsin
Quercus robur,-87.92230055,43.1039547,Wisconsin
Thuja occidentalis,-87.88492531,43.1692915,Wisconsin
Syringa reticulata,-87.94334382,42.92181234,Wisconsin
Betula,-87.87199169,43.06873543,Wisconsin
Quercus macrocarpa,-87.94738305,43.1099046,Wisconsin
Picea abies,-87.9797709,43.04034577,Wisconsin
Ulmus,-87.95917824,42.99581094,Wisconsin
Tilia cordata,-87.92552456,43.11354777,Wisconsin
Carya cordiformis,-87.87159607,43.07156725,Wisconsin
Fraxinus excelsior,-87.94619796,43.05045676,Wisconsin
Betula papyrifera,-87.91414395,43.04262268,Wisconsin
Acer freemanii,-87.87733734,42.89131549,Wisconsin
Robinia pseudoacacia,-88.02339569,42.94392555,Wisconsin
Pyrus calleryana,-88.03076908,42.93758137,Wisconsin
Acer ginnala,-87.89872259,43.03836774,Wisconsin
Aesculus hippocastanum,-87.88154572,43.17121249,Wisconsin
Quercus bicolor,-87.90513307,43.09803539,Wisconsin
Acer,-87.93803304,42.988755,Wisconsin
Picea pungens,-88.03424925,43.10131776,Wisconsin
Fraxinus,-87.93760121,42.98889234,Wisconsin
Picea,-87.93563247,42.98882171,Wisconsin
Malus,-87.91326016,43.04177485,Wisconsin
Morus,-87.89541948,43.04555653,Wisconsin
Ginkgo biloba,-87.8725563,43.06612686,Wisconsin
Ulmus americana,-87.94389904,43.02706489,Wisconsin
Carya ovata,-87.92263716,43.0037311,Wisconsin
Tilia,-87.87276685,43.06904453,Wisconsin
Catalpa,-87.87132382,43.07249892,Wisconsin
Platanus,-88.0112493,42.99291234,Wisconsin
Quercus palustris,-87.87010342,43.07227556,Wisconsin
Aesculus glabra,-87.8699559,43.07258121,Wisconsin
Picea glauca,-88.03501636,43.10153319,Wisconsin
Gymnocladus dioicus,-87.96472907,43.07392334,Wisconsin
Juniperus virginiana,-87.84096792,42.86895536,Wisconsin
Fraxinus quadrangulata,-88.02974045,42.93714053,Wisconsin
Juglans cinerea,-88.02873731,43.01970564,Wisconsin
Prunus,-87.97071258,43.05490726,Wisconsin
Betula alleghaniensis,-87.86906004,43.06941927,Wisconsin
Pinus strobus,-88.04632723,43.08530179,Wisconsin
Amelanchier,-87.87161887,43.06465278,Wisconsin
Salix nigra,-88.05730551,42.98296093,Wisconsin
Larix laricina,-87.87626982,42.89073381,Wisconsin
Carpinus caroliniana,-88.02506268,43.05548568,Wisconsin
Viburnum,-87.93367714,42.97289605,Wisconsin
Cercis canadensis,-87.87646294,42.89137051,Wisconsin
Pinus ponderosa,-87.92087764,42.95055472,Wisconsin
Ulmus pumila,-87.91254401,42.97711334,Wisconsin
Phellodendron amurense,-88.0190894,42.94739385,Wisconsin
Pinus mugo,-88.01338434,43.03517021,Wisconsin
Picea mariana,-87.94654101,43.14977303,Wisconsin
Taxus,-88.03174138,42.93655929,Wisconsin
Sorbus,-88.03177625,42.93593484,Wisconsin
Crataegus viridis,-87.95540303,43.15430494,Wisconsin
Quercus,-87.87287883,42.93765746,Wisconsin
Larix decidua,-87.95529842,43.15219361,Wisconsin
Ostrya virginiana,-87.93840174,42.97319585,Wisconsin
Quercus muehlenbergii,-87.94057768,43.11149491,Wisconsin
Abies balsamea,-87.94632375,43.14982391,Wisconsin
Elaeagnus angustifolia,-88.0110379,43.14847078,Wisconsin
Corylus colurna,-88.04449663,43.08477973,Wisconsin
Rhamnus,-87.89427683,42.97732626,Wisconsin
Alnus,-88.00333142,42.97723893,Wisconsin
Pyrus,-87.89933145,43.03887352,Wisconsin
Ailanthus altissima,-87.94548802,43.050383,Wisconsin
Cornus,-87.9484788,43.1098767,Wisconsin
Ulmus rubra,-88.05989653,43.02320987,Wisconsin
Metasequoia glyptostroboides,-88.03697169,42.95452423,Wisconsin
Fagus grandifolia,-87.96567321,42.99462111,Wisconsin
Carya,-87.85308212,42.94692855,Wisconsin
Syringa,-87.96943903,43.04983903,Wisconsin
Cercidiphyllum japonicum,-87.96939075,43.04969595,Wisconsin
Populus grandidentata,-88.03471595,43.05781984,Wisconsin
Magnolia,-87.87106231,43.07423241,Wisconsin
Castanea dentata,-88.056757,42.9924052,Wisconsin
Tsuga canadensis,-87.86858529,43.06956623,Wisconsin
Salix babylonica,-88.04156363,43.09059064,Wisconsin
Juniperus,-88.04622933,43.08532431,Wisconsin
Prunus virginiana,-88.01179379,42.99795022,Wisconsin
Euonymus,-87.93415457,43.11199994,Wisconsin
Acer nigrum,-87.96609029,43.05227435,Wisconsin
Fagus sylvatica,-88.03049415,42.93626867,Wisconsin
Populus deltoides,-87.90377989,43.09791494,Wisconsin
Tilia sp.,-88.11890744,42.97019377,Wisconsin
Acer miyabei,-88.097664,43.01657958,Wisconsin
Aesculus,-88.0952452,42.98385036,Wisconsin
Abies concolor,-88.07495507,43.00387659,Wisconsin
Crataegus crus-galli,-88.08369176,43.01396741,Wisconsin
Taxodium distichum,-88.09122824,43.01652408,Wisconsin
Catalpa speciosa,-88.07213325,43.01632595,Wisconsin
Larix,-88.12332669,42.97027001,Wisconsin
Quercus ellipsoidalis,-88.07764524,43.00497914,Wisconsin
Tilia tomentosa,-88.12368712,43.01673825,Wisconsin
Acer pseudoplatanus,-88.08146425,43.00331138,Wisconsin
Prunus pensylvanica,-88.16518575,42.97000463,Wisconsin
Pinus banksiana,-88.09313693,43.01043303,Wisconsin
Prunus cerasifera,-88.09934727,42.96893979,Wisconsin
Acer palmatum,-88.09872277,42.98393108,Wisconsin
Cladrastis kentukea,-88.09402328,42.95290316,Wisconsin
Liquidambar styraciflua,-88.1027225,42.98094445,Wisconsin
Carpinus,-88.08612577,43.01483353,Wisconsin
Populus balsamifera,-88.10406757,42.96463666,Wisconsin
Abies fraseri,-88.07558469,43.00487561,Wisconsin
Ulmus hybrid,-88.71365539,43.18889039,Wisconsin
Celtis,-88.72584902,43.19029573,Wisconsin
Prunus sargentii,-88.71755911,43.17445914,Wisconsin
Prunus maackii,-88.71924343,43.18924371,Wisconsin
Castanea,-88.72702646,43.19617485,Wisconsin
Populus nigra,-88.7385965,43.20859731,Wisconsin
Populus alba,-88.72513295,43.19278521,Wisconsin
Nyssa sylvatica,-87.98182514,43.05823264,Wisconsin
Washingtonia robusta,-117.9324813,33.81019948,California
Cinnamomum camphora,-117.9323674,33.80751178,California
Tree,-117.9326342,33.80721485,California
Koelreuteria bipinnata,-117.9327917,33.80505297,California
Magnolia grandiflora,-117.9323054,33.80218407,California
Lagerstroemia indica,-117.9325711,33.80184166,California
Tristaniopsis laurina,-117.9325308,33.79933996,California
Pinus canariensis,-117.932763,33.7990502,California
Cupressus sempervirens,-117.8980358,33.84982935,California
Ficus benjamina,-117.8980445,33.85055288,California
Ginkgo biloba,-117.8980735,33.85206613,California
Quercus ilex,-117.8980778,33.85284942,California
Pistacia chinensis,-117.9851265,33.82813864,California
