Name,Longitude,Latitude
Acer pseudoplatanus,11.072014,46.051599
Acer pseudoplatanus,11.072108,46.051541
Acer pseudoplatanus,11.071959,46.051668
Acer pseudoplatanus,11.15017,46.063778
Cupressus,11.07155,46.052305
Acer pseudoplatanus,11.071766,46.052002
Acer pseudoplatanus,11.071857,46.051874
Acer pseudoplatanus,11.071672,46.052135
Acer pseudoplatanus,11.071439,46.052551
Acer pseudoplatanus,11.071471,46.052469
Acer platanoides,11.071801,46.051954
Acer pseudoplatanus,11.071499,46.052404
Acer platanoides,11.071592,46.052238
Acer pseudoplatanus,11.071935,46.051749
Acer pseudoplatanus,11.072265,46.051379
Acer pseudoplatanus,11.143452,46.048201
Sophora japonica,11.145229,46.051329
Tilia cordata,11.14572,46.051508
Tilia cordata,11.145829,46.051532
Tilia cordata,11.145324,46.051393
Tilia cordata,11.105603,46.043994
Tilia cordata,11.10575,46.042766
Tilia cordata,11.105752,46.042668
Tilia cordata,11.105752,46.042578
Tilia cordata,11.13707,46.0547
Acer pseudoplatanus,11.139417,46.04517
Acer pseudoplatanus,11.139297,46.045142
Acer pseudoplatanus,11.139272,46.044826
Acer pseudoplatanus,11.139269,46.044767
Acer pseudoplatanus,11.139435,46.044374
Acer pseudoplatanus,11.139243,46.044446
Acer pseudoplatanus,11.139205,46.043973
Acer pseudoplatanus,11.139256,46.043808
Acer pseudoplatanus,11.139403,46.043962
Acer pseudoplatanus,11.139417,46.044145
Acer pseudoplatanus,11.138146,46.054988
Acer campestre,11.138135,46.055013
Acer campestre,11.138205,46.055102
Acer campestre,11.138732,46.05515
Acer tataricum ssp. ginnala,11.138779,46.055228
Acer tataricum ssp. ginnala,11.055708,46.038782
Fagus,11.056039,46.038846
Fagus,11.056569,46.038926
Fagus,11.056746,46.038952
Fagus,11.056904,46.038978
Fagus,11.057031,46.038996
Fagus,11.0541,46.038033
Fagus,11.053991,46.037891
Fagus,11.05855,46.071209
Acer campestre,11.058651,46.071179
Acer opalus,11.144706,46.0509
Tilia cordata,11.144916,46.050943
Tilia cordata,11.144779,46.050996
Tilia cordata,11.144891,46.051102
Tilia cordata,11.145168,46.051164
Tilia cordata,11.145081,46.051097
Tilia cordata,11.145004,46.051019
Tilia cordata,11.14513,46.051266
Tilia cordata,11.145035,46.051198
Tilia cordata,11.143234,46.048054
Sophora japonica,11.143325,46.048108
Sophora japonica,11.145525,46.051524
Tilia cordata,11.145426,46.05146
Tilia cordata,11.146221,46.051869
Tilia cordata,11.146317,46.051934
Tilia cordata,11.147019,46.052487
Tilia cordata,11.147115,46.052547
Tilia cordata,11.147208,46.052609
Tilia cordata,11.146904,46.052413
Tilia cordata,11.147571,46.05284
Tilia cordata,11.146234,46.051983
Tilia cordata,11.146136,46.051919
Tilia cordata,11.146034,46.051854
Tilia cordata,11.146311,46.052059
Tilia cordata,11.146645,46.052245
Tilia cordata,11.146529,46.052198
Tilia cordata,11.145935,46.05179
Tilia cordata,11.145838,46.051725
Tilia cordata,11.153067,46.057667
Sorbus,11.153051,46.057551
Sorbus,11.153034,46.057435
Sorbus,11.153044,46.057316
Sorbus,11.153078,46.057203
Sorbus,11.058547,46.079102
Tilia cordata,11.058434,46.079066
Tilia cordata,11.058378,46.078992
Tilia cordata,11.058503,46.078779
Cupressus,11.058495,46.07877
Cupressus,11.05851,46.078766
Cupressus,11.058859,46.078328
Carpinus betulus,11.058798,46.078385
Carpinus betulus,11.058732,46.07843
Carpinus betulus,11.058513,46.078582
Carpinus betulus,11.105511,46.045056
Tilia cordata,11.105523,46.044958
Tilia cordata,11.105536,46.044855
Tilia cordata,11.105547,46.04476
Tilia cordata,11.105557,46.044663
Tilia cordata,11.105567,46.044559
Tilia cordata,11.105599,46.044135
Prunus avium,11.105392,46.044552
Fraxinus,11.105348,46.044526
Fraxinus,11.105413,46.04449
Fraxinus,11.111386,46.020917
Prunus serrulata,11.111391,46.020956
Prunus serrulata,11.11146,46.020947
Prunus serrulata,11.097657,46.064569
Parrotia persica,11.097666,46.06448
Parrotia persica,11.097675,46.064392
Parrotia persica,11.097683,46.064303
Parrotia persica,11.097694,46.064202
Parrotia persica,11.097702,46.064113
Parrotia persica,11.097711,46.064025
Parrotia persica,11.09772,46.063935
Parrotia persica,11.097728,46.063847
Parrotia persica,11.097515,46.064524
Parrotia persica,11.131699,46.014152
Carpinus betulus,11.131535,46.014022
Cupressus,11.131551,46.014016
Cupressus,11.131566,46.014011
Cupressus,11.131573,46.013975
Cupressus,11.131588,46.013971
Cupressus,11.131604,46.013966
Cupressus,11.131331,46.014041
Carpinus betulus,11.131516,46.013813
Carpinus betulus,11.141717,46.041942
Prunus avium,11.141721,46.041885
Ostrya carpinifolia,11.141746,46.041776
Ostrya carpinifolia,11.141738,46.041798
Ostrya carpinifolia,11.14173,46.041817
Ostrya carpinifolia,11.141538,46.041819
Celtis australis,11.141529,46.04175
Celtis australis,11.141566,46.041787
Robinia pseudoacacia,11.141753,46.041661
Ostrya carpinifolia,11.141756,46.04168
Ostrya carpinifolia,11.141761,46.04173
Robinia pseudoacacia,11.141534,46.041672
Celtis australis,11.141552,46.041599
Celtis australis,11.141575,46.041525
Celtis australis,11.141634,46.041482
Betula pendula,11.141645,46.041494
Betula pendula,11.141655,46.041484
Betula pendula,11.141733,46.041569
Robinia pseudoacacia,11.141574,46.041615
Robinia pseudoacacia,11.141445,46.041429
Celtis australis,11.141415,46.041487
Celtis australis,11.141391,46.041549
Celtis australis,11.141376,46.04161
Celtis australis,11.154023,46.059914
Sorbus,11.143951,46.040162
Robinia pseudoacacia,11.143956,46.040106
Acer platanoides,11.143958,46.040048
Acer platanoides,11.143961,46.039988
Acer platanoides,11.143964,46.039932
Picea abies,11.144017,46.039679
Acer platanoides,11.14425,46.049782
Quercus robur,11.144672,46.038898
Pinus nigra,11.145469,46.038509
Pyrus calleryana,11.14562,46.038338
Pyrus calleryana,11.145654,46.038229
Pyrus calleryana,11.145708,46.038127
Pyrus calleryana,11.146187,46.036102
Liriodendron tulipifera,11.146137,46.036144
Liriodendron tulipifera,11.14607,46.036144
Liriodendron tulipifera,11.146003,46.03614
Liriodendron tulipifera,11.145934,46.036136
Liriodendron tulipifera,11.146192,46.036042
Acer campestre,11.146405,46.036076
Liriodendron tulipifera,11.14478,46.038778
Pinus nigra,11.16516,46.067261
Liriodendron tulipifera,11.159789,46.066448
Acer,11.160453,46.067608
Juglans,11.160385,46.06756
Acacia,11.128209,46.011439
Crataegus,11.128267,46.011505
Crataegus,11.128382,46.011637
Crataegus,11.128461,46.011724
Crataegus,11.128517,46.011784
Crataegus,11.128569,46.011845
Crataegus,11.128703,46.012005
Crataegus,11.128755,46.012073
Crataegus,11.128909,46.012287
Crataegus,11.128962,46.012356
Crataegus,11.129022,46.012427
Crataegus,11.133054,46.011556
Crataegus,11.13312,46.011584
Crataegus,11.133184,46.011611
Crataegus,11.133251,46.011639
Crataegus,11.133318,46.011669
Crataegus,11.133382,46.011695
Crataegus,11.133512,46.011666
Koelreuteria paniculata,11.133553,46.011627
Koelreuteria paniculata,11.133595,46.011537
Celtis australis,11.133532,46.011509
Celtis australis,11.133445,46.01147
Celtis australis,11.133357,46.011433
Celtis australis,11.133268,46.011395
Celtis australis,11.133181,46.011356
Celtis australis,11.129518,46.010632
Pinus,11.128083,46.006724
Tilia cordata,11.128144,46.006723
Tilia cordata,11.12819,46.006693
Tilia cordata,11.128316,46.006802
Abies nordmanniana,11.130692,46.006116
Celtis australis,11.130799,46.006283
Celtis australis,11.130881,46.006205
Celtis australis,11.13131,46.006023
Prunus cerasifera,11.154557,46.064609
Cupressus,11.154568,46.064645
Cupressus,11.154571,46.064687
Cupressus,11.156462,46.065304
Sorbus,11.156465,46.065226
Sorbus aucuparia,11.141754,46.065092
Platanus x hispanica,11.150303,46.064316
Corylus colurna,11.150314,46.064397
Corylus colurna,11.156549,46.065795
Prunus serrulata,11.156574,46.065836
Prunus serrulata,11.156497,46.065775
Prunus serrulata,11.156593,46.065762
Prunus serrulata,11.069079,46.090607
Pyrus calleryana,11.068866,46.090523
Pyrus calleryana,11.068764,46.09048
Pyrus calleryana,11.068662,46.090438
Pyrus calleryana,11.068557,46.090393
Pyrus calleryana,11.068456,46.09035
Pyrus calleryana,11.068358,46.090296
Pyrus calleryana,11.068265,46.090242
Pyrus calleryana,11.068145,46.09017
Pyrus calleryana,11.068057,46.090116
Pyrus calleryana,11.067973,46.090062
Pyrus calleryana,11.067868,46.089994
Pyrus calleryana,11.067821,46.089941
Pyrus calleryana,11.070385,46.090166
